Book Title;OpenURL
Psychology, Religion, and Spirituality;http://link.springer.com/openurl?genre=book&isbn=978-0-387-87573-6
Introductory Time Series with R;http://link.springer.com/openurl?genre=book&isbn=978-0-387-88698-5
Child Neuropsychology;http://link.springer.com/openurl?genre=book&isbn=978-0-387-88963-4
A Beginner's Guide to R;http://link.springer.com/openurl?genre=book&isbn=978-0-387-93837-0
Geomorphology of Desert Environments;http://link.springer.com/openurl?genre=book&isbn=978-1-4020-5719-9
The Joy of Science;http://link.springer.com/openurl?genre=book&isbn=978-1-4020-6099-1
Fatigue of Structures and Materials;http://link.springer.com/openurl?genre=book&isbn=978-1-4020-6808-9
Essential Astrophysics;http://link.springer.com/openurl?genre=book&isbn=978-3-642-35963-7
Introduction to Evolutionary Computing;http://link.springer.com/openurl?genre=book&isbn=978-3-662-44874-8
Data Analysis;http://link.springer.com/openurl?genre=book&isbn=978-3-319-03762-2
International Perspectives on Psychotherapy;http://link.springer.com/openurl?genre=book&isbn=978-3-319-56194-3
Electrical Machines;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-0400-2
Mechanics and Thermodynamics;http://link.springer.com/openurl?genre=book&isbn=978-3-319-27877-3
Applied Behavior Analysis;http://link.springer.com/openurl?genre=book&isbn=978-3-319-44794-0
Reading, Writing, and Proving;http://link.springer.com/openurl?genre=book&isbn=978-1-4419-9479-0
Linear and Nonlinear Programming;http://link.springer.com/openurl?genre=book&isbn=978-3-319-18842-3
Introduction to Partial Differential Equations;http://link.springer.com/openurl?genre=book&isbn=978-3-319-48936-0
Energy Storage;http://link.springer.com/openurl?genre=book&isbn=978-3-319-21239-5
Metabolism of Human Diseases;http://link.springer.com/openurl?genre=book&isbn=978-3-7091-0715-7
Sensory Evaluation of Food;http://link.springer.com/openurl?genre=book&isbn=978-1-4419-6488-5
Fundamentals of Robotic Mechanical Systems;http://link.springer.com/openurl?genre=book&isbn=978-3-319-01851-5
Integrative Human Biochemistry;http://link.springer.com/openurl?genre=book&isbn=978-1-4939-3058-6
Philosophy of Science for Scientists;http://link.springer.com/openurl?genre=book&isbn=978-3-319-26551-3
Particles and Nuclei;http://link.springer.com/openurl?genre=book&isbn=978-3-662-46321-5
Data Structures and Algorithms with Python;http://link.springer.com/openurl?genre=book&isbn=978-3-319-13072-9
LGBT-Parent Families;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-4556-2
Integrated Neuroscience;http://link.springer.com/openurl?genre=book&isbn=978-1-4615-1077-2
Introduction to Partial Differential Equations;http://link.springer.com/openurl?genre=book&isbn=978-3-319-02099-0
Microeconomics;http://link.springer.com/openurl?genre=book&isbn=978-3-642-37434-0
System Dynamics;http://link.springer.com/openurl?genre=book&isbn=978-981-10-2045-2
Cosmology for the Curious;http://link.springer.com/openurl?genre=book&isbn=978-3-319-57040-2
Methods of Mathematical Modelling;http://link.springer.com/openurl?genre=book&isbn=978-3-319-23042-9
Introduction to Logic Circuits & Logic Design with Verilog;http://link.springer.com/openurl?genre=book&isbn=978-3-319-53883-9
Structural Analysis;http://link.springer.com/openurl?genre=book&isbn=978-90-481-2516-6
Engineering Flow and Heat Exchange;http://link.springer.com/openurl?genre=book&isbn=978-1-4899-7454-9
Enterprise Risk Management Models;http://link.springer.com/openurl?genre=book&isbn=978-3-662-53785-5
Reactive Power Control in AC Power Systems;http://link.springer.com/openurl?genre=book&isbn=978-3-319-51118-4
Principles of Microeconomics;http://link.springer.com/openurl?genre=book&isbn=978-3-319-57589-6
Additive Manufacturing Technologies;http://link.springer.com/openurl?genre=book&isbn=978-1-4419-1120-9
Principles of Physics;http://link.springer.com/openurl?genre=book&isbn=978-3-642-23026-4
Fundamentals of Biomechanics;http://link.springer.com/openurl?genre=book&isbn=978-3-319-44738-4
Irrigation and Drainage Engineering;http://link.springer.com/openurl?genre=book&isbn=978-3-319-05699-9
LaTeX in 24 Hours;http://link.springer.com/openurl?genre=book&isbn=978-3-319-47831-9
Psychology of Perception;http://link.springer.com/openurl?genre=book&isbn=978-3-319-31791-5
Extragalactic Astronomy and Cosmology;http://link.springer.com/openurl?genre=book&isbn=978-3-642-54083-7
Automata and Computability;http://link.springer.com/openurl?genre=book&isbn=978-1-4612-1844-9
The Algorithm Design Manual;http://link.springer.com/openurl?genre=book&isbn=978-1-84800-070-4
Chemical Thermodynamics;http://link.springer.com/openurl?genre=book&isbn=978-3-642-19864-9
Computational Physics;http://link.springer.com/openurl?genre=book&isbn=978-3-319-61088-7
Introduction to Statistics and Data Analysis;http://link.springer.com/openurl?genre=book&isbn=978-3-319-46162-5
Grammar for Teachers;http://link.springer.com/openurl?genre=book&isbn=978-3-319-33916-0
Time Series Econometrics;http://link.springer.com/openurl?genre=book&isbn=978-3-319-32862-1
Electrochemistry;http://link.springer.com/openurl?genre=book&isbn=978-3-642-30250-3
Classical Fourier Analysis;http://link.springer.com/openurl?genre=book&isbn=978-1-4939-1194-3
Human Chromosomes;http://link.springer.com/openurl?genre=book&isbn=978-1-4613-0139-4
Phylogenomics;http://link.springer.com/openurl?genre=book&isbn=978-3-319-54064-1
Quantum Theory for Mathematicians;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-7116-5
Evidence-Based Critical Care;http://link.springer.com/openurl?genre=book&isbn=978-3-319-43341-7
Clinical Assessment of Child and Adolescent Personality and Behavior;http://link.springer.com/openurl?genre=book&isbn=978-1-4419-0641-0
Design Research in Information Systems;http://link.springer.com/openurl?genre=book&isbn=978-1-4419-5653-8
Intermediate Physics for Medicine and Biology;http://link.springer.com/openurl?genre=book&isbn=978-3-319-12682-1
Principles of Data Mining;http://link.springer.com/openurl?genre=book&isbn=978-1-4471-7307-6
Fundamental Astronomy;http://link.springer.com/openurl?genre=book&isbn=978-3-662-53045-0
Fundamentals of Business Process Management;http://link.springer.com/openurl?genre=book&isbn=978-3-642-33143-5
Brownian Motion, Martingales, and Stochastic Calculus;http://link.springer.com/openurl?genre=book&isbn=978-3-319-31089-3
UML @ Classroom;http://link.springer.com/openurl?genre=book&isbn=978-3-319-12742-2
Design and Analysis of Experiments;http://link.springer.com/openurl?genre=book&isbn=978-3-319-52250-0
Foundations for Designing User-Centered Systems;http://link.springer.com/openurl?genre=book&isbn=978-1-4471-5134-0
Handbook of Consumer Finance Research;http://link.springer.com/openurl?genre=book&isbn=978-3-319-28887-1
Principles of Terrestrial Ecosystem Ecology;http://link.springer.com/openurl?genre=book&isbn=978-1-4419-9504-9
Applied Multivariate Statistical Analysis;http://link.springer.com/openurl?genre=book&isbn=978-3-662-45171-7
Strategic International Management;http://link.springer.com/openurl?genre=book&isbn=978-3-8349-6331-4
Computer Vision;http://link.springer.com/openurl?genre=book&isbn=978-1-84882-935-0
Engineering Electromagnetics;http://link.springer.com/openurl?genre=book&isbn=978-3-319-07806-9
Data Mining;http://link.springer.com/openurl?genre=book&isbn=978-3-319-14142-8
International Trade Theory and Policy;http://link.springer.com/openurl?genre=book&isbn=978-3-642-37314-5
Alternative Energy Sources;http://link.springer.com/openurl?genre=book&isbn=978-3-642-20951-2
Introduction to Electronic Commerce and Social Commerce;http://link.springer.com/openurl?genre=book&isbn=978-3-319-50091-1
Computational Geometry;http://link.springer.com/openurl?genre=book&isbn=978-3-540-77974-2
Elementary Mechanics Using Python;http://link.springer.com/openurl?genre=book&isbn=978-3-319-19596-4
Energy Economics;http://link.springer.com/openurl?genre=book&isbn=978-3-662-53022-1
Biomedical Informatics;http://link.springer.com/openurl?genre=book&isbn=978-1-4471-4474-8
Robotics, Vision and Control;http://link.springer.com/openurl?genre=book&isbn=978-3-319-54413-7
Acid-Base Diagrams;http://link.springer.com/openurl?genre=book&isbn=978-3-642-37902-4
Brewing Science: A Multidisciplinary Approach;http://link.springer.com/openurl?genre=book&isbn=978-3-319-46394-0
Learning Landscape Ecology;http://link.springer.com/openurl?genre=book&isbn=978-1-4939-6374-4
Probability;http://link.springer.com/openurl?genre=book&isbn=978-1-4612-4374-8
Modeling Life;http://link.springer.com/openurl?genre=book&isbn=978-3-319-59731-7
Introduction to Plasma Physics and Controlled Fusion;http://link.springer.com/openurl?genre=book&isbn=978-3-319-22309-4
Engineering Mechanics 1;http://link.springer.com/openurl?genre=book&isbn=978-3-642-30319-7
Business Statistics for Competitive Advantage with Excel 2016;http://link.springer.com/openurl?genre=book&isbn=978-3-319-32185-1
Principles of Polymer Chemistry;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-2212-9
A Primer on Scientific Programming with Python;http://link.springer.com/openurl?genre=book&isbn=978-3-662-49887-3
Climate Change Science: A Modern Synthesis;http://link.springer.com/openurl?genre=book&isbn=978-94-007-5757-8
Solar PV and Wind Energy Conversion Systems;http://link.springer.com/openurl?genre=book&isbn=978-3-319-14941-7
Statistical Analysis and Data Display;http://link.springer.com/openurl?genre=book&isbn=978-1-4939-2122-5
Business Process Management Cases;http://link.springer.com/openurl?genre=book&isbn=978-3-319-58307-5
Elementary Analysis;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-6271-2
Cryptography Made Simple;http://link.springer.com/openurl?genre=book&isbn=978-3-319-21936-3
Fluid Dynamics;http://link.springer.com/openurl?genre=book&isbn=978-3-319-09351-2
Social Media Management;http://link.springer.com/openurl?genre=book&isbn=978-3-319-21990-5
Statistics in Criminal Justice;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-9170-5
Supply Chain Management and Advanced Planning;http://link.springer.com/openurl?genre=book&isbn=978-3-642-55309-7
Probability Theory;http://link.springer.com/openurl?genre=book&isbn=978-1-4471-5201-9
Statistics and Data Analysis for Financial Engineering;http://link.springer.com/openurl?genre=book&isbn=978-1-4939-2614-5
Readings in Formal Epistemology;http://link.springer.com/openurl?genre=book&isbn=978-3-319-20451-2
Differential Equations and Their Applications;http://link.springer.com/openurl?genre=book&isbn=978-1-4612-4360-1
Nanotechnology: Principles and Practices;http://link.springer.com/openurl?genre=book&isbn=978-3-319-09171-6
Epidemiological Research: Terms and Concepts;http://link.springer.com/openurl?genre=book&isbn=978-94-007-1171-6
Multinational Management;http://link.springer.com/openurl?genre=book&isbn=978-3-319-23012-2
Partial Differential Equations;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-4809-9
Bayesian and Frequentist Regression Methods;http://link.springer.com/openurl?genre=book&isbn=978-1-4419-0925-1
Strategic International Management;http://link.springer.com/openurl?genre=book&isbn=978-3-658-07884-3
Basic Concepts in Computational Physics;http://link.springer.com/openurl?genre=book&isbn=978-3-319-27265-8
Eye Tracking Methodology;http://link.springer.com/openurl?genre=book&isbn=978-3-319-57883-5
Writing for Publication;http://link.springer.com/openurl?genre=book&isbn=978-3-319-31650-5
Mathematical Physics;http://link.springer.com/openurl?genre=book&isbn=978-3-319-01195-0
Correctional Counseling and Treatment;http://link.springer.com/openurl?genre=book&isbn=978-3-319-54349-9
Thermodynamics and Energy Conversion;http://link.springer.com/openurl?genre=book&isbn=978-3-662-43715-5
The Action Research Planner;http://link.springer.com/openurl?genre=book&isbn=978-981-4560-67-2
Stochastic Processes and Calculus;http://link.springer.com/openurl?genre=book&isbn=978-3-319-23428-1
Statistical Analysis of Clinical Data on a Pocket Calculator;http://link.springer.com/openurl?genre=book&isbn=978-94-007-1211-9
Clinical Data Analysis on a Pocket Calculator;http://link.springer.com/openurl?genre=book&isbn=978-3-319-27104-0
The Data Science Design Manual;http://link.springer.com/openurl?genre=book&isbn=978-3-319-55444-0
An Introduction to Machine Learning;http://link.springer.com/openurl?genre=book&isbn=978-3-319-63913-0
Guide to Discrete Mathematics;http://link.springer.com/openurl?genre=book&isbn=978-3-319-44561-8
Petroleum Geoscience;http://link.springer.com/openurl?genre=book&isbn=978-3-642-34132-8
Structure Determination by X-ray Crystallography;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-3954-7
Introduction to Time Series and Forecasting;http://link.springer.com/openurl?genre=book&isbn=978-3-319-29854-2
Principles of Mobile Communication;http://link.springer.com/openurl?genre=book&isbn=978-3-319-55615-4
Cardiovascular Biomechanics;http://link.springer.com/openurl?genre=book&isbn=978-3-319-46407-7
Introduction to Smooth Manifolds;http://link.springer.com/openurl?genre=book&isbn=978-1-4419-9982-5
Taxation in European Union;http://link.springer.com/openurl?genre=book&isbn=978-3-319-53919-5
Essentials of Cerebellum and Cerebellar Disorders;http://link.springer.com/openurl?genre=book&isbn=978-3-319-24551-5
Language Across the Curriculum & CLIL in English as an Additional LanguAangege(lEAML.)Y.CLoinntexts;http://link.springer.com/openurl?genre=book&isbn=978-981-10-1802-2
Multivariate Calculus and Geometry;http://link.springer.com/openurl?genre=book&isbn=978-1-4471-6419-7
Statistics and Analysis of Scientific Data;http://link.springer.com/openurl?genre=book&isbn=978-1-4939-6572-4
Modelling Computing Systems;http://link.springer.com/openurl?genre=book&isbn=978-1-84800-322-4
Search Methodologies;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-6940-7
Representation Theory;http://link.springer.com/openurl?genre=book&isbn=978-1-4612-0979-9
Linear Algebra Done Right;http://link.springer.com/openurl?genre=book&isbn=978-3-319-11080-6
Stellar Structure and Evolution;http://link.springer.com/openurl?genre=book&isbn=978-3-642-30304-3
Evolutionary Thinking in Medicine;http://link.springer.com/openurl?genre=book&isbn=978-3-319-29716-3
Understanding Cryptography;http://link.springer.com/openurl?genre=book&isbn=978-3-642-04101-3
Linear Algebra;http://link.springer.com/openurl?genre=book&isbn=978-3-319-24346-7
Algebra;http://link.springer.com/openurl?genre=book&isbn=978-1-4613-0041-0
Understanding Analysis;http://link.springer.com/openurl?genre=book&isbn=978-1-4939-2712-8
Plate Tectonics;http://link.springer.com/openurl?genre=book&isbn=978-3-540-76504-2
Linear Programming;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-7630-6
The Nature of Scientific Knowledge;http://link.springer.com/openurl?genre=book&isbn=978-3-319-33405-9
Leadership Today;http://link.springer.com/openurl?genre=book&isbn=978-3-319-31036-7
Physics of Semiconductor Devices;http://link.springer.com/openurl?genre=book&isbn=978-1-4939-1151-6
Corporate Social Responsibility;http://link.springer.com/openurl?genre=book&isbn=978-3-642-40975-2
Ordinary Differential Equations;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-3618-8
Electronic Commerce;http://link.springer.com/openurl?genre=book&isbn=978-3-319-10091-3
Ceramic Materials;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-3523-5
Foundations of Analytical Chemistry;http://link.springer.com/openurl?genre=book&isbn=978-3-319-62872-1
Life Cycle Assessment;http://link.springer.com/openurl?genre=book&isbn=978-3-319-56475-3
A Clinical Guide to the Treatment of the Human Stress Response;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-5538-7
Computational Physics;http://link.springer.com/openurl?genre=book&isbn=978-3-319-00401-3
Handbook of LGBT Elders;http://link.springer.com/openurl?genre=book&isbn=978-3-319-03623-6
Handbook of Cardiac Anatomy, Physiology, and Devices;http://link.springer.com/openurl?genre=book&isbn=978-3-319-19464-6
Quantum Mechanics;http://link.springer.com/openurl?genre=book&isbn=978-3-642-20556-9
Understanding Statistics Using R;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-6227-9
Mass Spectrometry;http://link.springer.com/openurl?genre=book&isbn=978-3-319-54398-7
Statistical Mechanics for Engineers;http://link.springer.com/openurl?genre=book&isbn=978-3-319-15018-5
The Gastrointestinal System;http://link.springer.com/openurl?genre=book&isbn=978-94-017-8771-0
Additive Manufacturing Technologies;http://link.springer.com/openurl?genre=book&isbn=978-1-4939-2113-3
Magnetic Interactions in Molecules and Solids;http://link.springer.com/openurl?genre=book&isbn=978-3-319-22951-5
Electricity and Magnetism;http://link.springer.com/openurl?genre=book&isbn=978-4-431-54526-2
Survival Analysis;http://link.springer.com/openurl?genre=book&isbn=978-1-4419-6646-9
Foundations of Quantum Mechanics;http://link.springer.com/openurl?genre=book&isbn=978-3-319-65867-4
An Introduction to Statistical Learning;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-7138-7
Introduction to Mathematica® for Physicists;http://link.springer.com/openurl?genre=book&isbn=978-3-319-00894-3
Statistical Learning from a Regression Perspective;http://link.springer.com/openurl?genre=book&isbn=978-3-319-44048-4
Applied Partial Differential Equations;http://link.springer.com/openurl?genre=book&isbn=978-3-319-12493-3
Principles of Astrophysics;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-9236-8
Air Pollution and Greenhouse Gases;http://link.springer.com/openurl?genre=book&isbn=978-981-287-212-8
Polymer Synthesis: Theory and Practice;http://link.springer.com/openurl?genre=book&isbn=978-3-642-28980-4
Sustainable Supply Chains;http://link.springer.com/openurl?genre=book&isbn=978-3-319-29791-0
Robotics;http://link.springer.com/openurl?genre=book&isbn=978-1-84628-642-1
Econometrics;http://link.springer.com/openurl?genre=book&isbn=978-3-642-20059-5
The Sea Floor;http://link.springer.com/openurl?genre=book&isbn=978-3-319-51412-3
SPSS for Starters and 2nd Levelers;http://link.springer.com/openurl?genre=book&isbn=978-3-319-20600-4
Regression Modeling Strategies;http://link.springer.com/openurl?genre=book&isbn=978-3-319-19425-7
Legal Dynamics of EU External Relations;http://link.springer.com/openurl?genre=book&isbn=978-3-662-54817-2
Food Analysis Laboratory Manual;http://link.springer.com/openurl?genre=book&isbn=978-3-319-44127-6
Principles of Musical Acoustics;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-6786-1
Fundamentals of Structural Engineering;http://link.springer.com/openurl?genre=book&isbn=978-3-319-24331-3
Basics of Laser Physics;http://link.springer.com/openurl?genre=book&isbn=978-3-319-50651-7
Applied Quantitative Finance;http://link.springer.com/openurl?genre=book&isbn=978-3-662-54486-0
Handbook of Marriage and the Family;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-3987-5
Solid-State Physics;http://link.springer.com/openurl?genre=book&isbn=978-3-540-93804-0
Electrochemical Impedance Spectroscopy and its Applications;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-8933-7
Economics as Applied Ethics;http://link.springer.com/openurl?genre=book&isbn=978-3-319-50319-6
Electronics for Embedded Systems;http://link.springer.com/openurl?genre=book&isbn=978-3-319-39439-8
Concise Guide to Software Engineering;http://link.springer.com/openurl?genre=book&isbn=978-3-319-57750-0
Fundamentals of Multimedia;http://link.springer.com/openurl?genre=book&isbn=978-3-319-05290-8
Logistics;http://link.springer.com/openurl?genre=book&isbn=978-3-319-01769-3
Group Theory Applied to Chemistry;http://link.springer.com/openurl?genre=book&isbn=978-94-007-6863-5
The Psychology of Social Status;http://link.springer.com/openurl?genre=book&isbn=978-1-4939-0867-7
A Modern Introduction to Probability and Statistics;http://link.springer.com/openurl?genre=book&isbn=978-1-84628-168-6
Complex Analysis;http://link.springer.com/openurl?genre=book&isbn=978-1-4419-7288-0
Food Chemistry;http://link.springer.com/openurl?genre=book&isbn=978-3-540-69934-7
Exam Survival Guide: Physical Chemistry;http://link.springer.com/openurl?genre=book&isbn=978-3-319-49810-2
The Python Workbook;http://link.springer.com/openurl?genre=book&isbn=978-3-319-14240-1
Practical Electrical Engineering;http://link.springer.com/openurl?genre=book&isbn=978-3-319-21173-2
Strategic Retail Management;http://link.springer.com/openurl?genre=book&isbn=978-3-658-10183-1
Food Analysis;http://link.springer.com/openurl?genre=book&isbn=978-3-319-45776-5
Psychoeducational Assessment and Report Writing;http://link.springer.com/openurl?genre=book&isbn=978-1-4939-1911-6
Machine Learning in Medicine - a Complete Overview;http://link.springer.com/openurl?genre=book&isbn=978-3-319-15195-3
Evidence-Based Interventions for Children with Challenging Behavior;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-7807-2
Principles of Quantum Mechanics;http://link.springer.com/openurl?genre=book&isbn=978-1-4757-0576-8
Recommender Systems;http://link.springer.com/openurl?genre=book&isbn=978-3-319-29659-3
Pharmaceutical Biotechnology;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-6486-0
Python Programming Fundamentals;http://link.springer.com/openurl?genre=book&isbn=978-1-4471-6642-9
The Finite Element Method and Applications in Engineering Using ANSYSE®rdogan Madenci, Ibrahim Guven;http://link.springer.com/openurl?genre=book&isbn=978-1-4899-7550-8
Group Theory;http://link.springer.com/openurl?genre=book&isbn=978-3-540-32899-5
Object-Oriented Analysis, Design and Implementation;http://link.springer.com/openurl?genre=book&isbn=978-3-319-24280-4
Introduction to Embedded Systems;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-3143-5
Elementary Mechanics Using Matlab;http://link.springer.com/openurl?genre=book&isbn=978-3-319-19587-2
An Introduction to Biomechanics;http://link.springer.com/openurl?genre=book&isbn=978-1-4939-2623-7
New Introduction to Multiple Time Series Analysis;http://link.springer.com/openurl?genre=book&isbn=978-3-540-27752-1
Introduction to Data Science;http://link.springer.com/openurl?genre=book&isbn=978-3-319-50017-1
Calculus With Applications;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-7946-8
An Introduction to Soil Mechanics;http://link.springer.com/openurl?genre=book&isbn=978-3-319-61185-3
Game Theory;http://link.springer.com/openurl?genre=book&isbn=978-3-662-46950-7
Fundamentals of Clinical Trials;http://link.springer.com/openurl?genre=book&isbn=978-3-319-18539-2
The Finite Volume Method in Computational Fluid Dynamics;http://link.springer.com/openurl?genre=book&isbn=978-3-319-16874-6
The ASCRS Textbook of Colon and Rectal Surgery;http://link.springer.com/openurl?genre=book&isbn=978-3-319-25970-3
Applied Predictive Modeling;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-6849-3
Introduction to Logic Circuits & Logic Design with VHDL;http://link.springer.com/openurl?genre=book&isbn=978-3-319-34195-8
Sustainability Science;http://link.springer.com/openurl?genre=book&isbn=978-94-017-7242-6
Physical Chemistry from a Different Angle;http://link.springer.com/openurl?genre=book&isbn=978-3-319-15666-8
The Physics of Semiconductors;http://link.springer.com/openurl?genre=book&isbn=978-3-319-23880-7
Energy Harvesting and Energy Efficiency;http://link.springer.com/openurl?genre=book&isbn=978-3-319-49875-1
Python For ArcGIS;http://link.springer.com/openurl?genre=book&isbn=978-3-319-18398-5
Statics and Mechanics of Structures;http://link.springer.com/openurl?genre=book&isbn=978-94-007-6113-1
Real Analysis;http://link.springer.com/openurl?genre=book&isbn=978-1-4939-2766-1
MATLAB for Psychologists;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-2197-9
Physical Asset Management;http://link.springer.com/openurl?genre=book&isbn=978-3-319-14777-2
Essentials of Food Science;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-9138-5
Quantum Mechanics;http://link.springer.com/openurl?genre=book&isbn=978-1-4612-1272-0
Probability Theory;http://link.springer.com/openurl?genre=book&isbn=978-1-4471-5361-0
Concise Guide to Databases;http://link.springer.com/openurl?genre=book&isbn=978-1-4471-5601-7
Digital Image Processing;http://link.springer.com/openurl?genre=book&isbn=978-1-4471-6684-9
Chemical and Bioprocess Engineering;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-9126-2
Transmission Electron Microscopy;http://link.springer.com/openurl?genre=book&isbn=978-1-4757-2519-3
Guide to Computer Network Security;http://link.springer.com/openurl?genre=book&isbn=978-3-319-55606-2
Introduction to Law;http://link.springer.com/openurl?genre=book&isbn=978-3-319-57252-9
Advanced Quantum Mechanics;http://link.springer.com/openurl?genre=book&isbn=978-3-319-25675-7
Bayesian Essentials with R;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-8687-9
Robotics, Vision and Control;http://link.springer.com/openurl?genre=book&isbn=978-3-642-20144-8
Applied Chemistry;http://link.springer.com/openurl?genre=book&isbn=978-1-4614-4262-2
Advanced Organic Chemistry;http://link.springer.com/openurl?genre=book&isbn=978-0-387-44899-2
Advanced Organic Chemistry;http://link.springer.com/openurl?genre=book&isbn=978-0-387-71481-3
International Humanitarian Action;http://link.springer.com/openurl?genre=book&isbn=978-3-319-14454-2
Breast Cancer;http://link.springer.com/openurl?genre=book&isbn=978-3-319-48848-6
Travel Marketing, Tourism Economics and the Airline Product;http://link.springer.com/openurl?genre=book&isbn=978-3-319-49849-2
Electronic Commerce 2018;http://link.springer.com/openurl?genre=book&isbn=978-3-319-58715-8
Disability and Vocational Rehabilitation in Rural Settings;http://link.springer.com/openurl?genre=book&isbn=978-3-319-64786-9
Teaching Medicine and Medical Ethics Using Popular Culture;http://link.springer.com/openurl?genre=book&isbn=978-3-319-65451-5
Market Research;http://link.springer.com/openurl?genre=book&isbn=978-981-10-5218-7
Scanning Electron Microscopy and X-Ray Microanalysis;http://link.springer.com/openurl?genre=book&isbn=978-1-4939-6676-9
ArcGIS for Environmental and Water Issues;http://link.springer.com/openurl?genre=book&isbn=978-3-319-61158-7
Physics from Symmetry;http://link.springer.com/openurl?genre=book&isbn=978-3-319-66631-0
Communication and Bioethics at the End of Life;http://link.springer.com/openurl?genre=book&isbn=978-3-319-70920-8
Foundations of Programming Languages;http://link.springer.com/openurl?genre=book&isbn=978-3-319-70790-7
Problems in Classical Electromagnetism;http://link.springer.com/openurl?genre=book&isbn=978-3-319-63133-2
Polymer Chemistry;http://link.springer.com/openurl?genre=book&isbn=978-3-662-49279-6
Probability and Statistics for Computer Science;http://link.springer.com/openurl?genre=book&isbn=978-3-319-64410-3
Empathetic Space on Screen;http://link.springer.com/openurl?genre=book&isbn=978-3-319-66772-0
Political Social Work;http://link.springer.com/openurl?genre=book&isbn=978-3-319-68588-5
Introductory Quantum Mechanics;http://link.springer.com/openurl?genre=book&isbn=978-3-319-68598-4
